SalesOrderID,SubTotal,TaxAmt,Freight
61285,71.58,5.7264,1.7895
61199,70132.6554,5610.6124,1753.3164
61207,2651.0968,212.0877,66.2774
61185,554.0328,44.3226,13.8508
61202,5275.6329,422.0506,131.8908
61267,32268.6182,2581.4895,806.7155
61283,60.47,4.8376,1.5118
61266,15593.0629,1247.445,389.8266
61244,65815.9668,5265.2773,1645.3992
61293,89.97,7.1976,2.2493
61241,31761.0472,2540.8838,794.0262
61213,9078.192,726.2554,226.9548
61253,813.5856,65.0868,20.3396
61182,63162.5722,5053.0058,1579.0643
61183,35.0935,2.8075,0.8773
61260,777.5856,62.2068,19.4396
61187,65.988,5.279,1.6497
61195,48351.9497,3868.156,1208.7987
61256,181.974,14.5579,4.5494
61301,2479.94,198.3952,61.9985
61747,123.98,9.9184,3.0995
61766,2354.98,188.3984,58.8745
61752,68.49,5.4792,1.7123
61771,2376.96,190.1568,59.424
61757,56.97,4.5576,1.4243
61767,2334.97,186.7976,58.3743
61768,2376.96,190.1568,59.424
61769,2367.93,189.4344,59.1983
61754,64.47,5.1576,1.6118
61748,123.98,9.9184,3.0995
61776,2384.07,190.7256,59.6018
61775,1268.84,101.5072,31.721
62249,28.99,2.3192,0.7248
62250,32.6,2.608,0.815
62252,45.22,3.6176,1.1305
62279,2407.04,192.5632,60.176
62271,2370.96,189.6768,59.274
63143,105.4261,8.4341,2.6357
63308,51.96,4.1568,1.299
63341,2357.28,188.5824,58.932
63268,4332.5632,346.6051,108.3141
63133,39102.9858,3128.2389,977.5746
63336,604.96,48.3968,15.124
63340,2337.27,186.9816,58.4318
63198,3668.7336,293.4987,91.7183
63148,26494.3806,2119.5504,662.3595
63156,28945.251,2315.6201,723.6313
63338,2319.99,185.5992,57.9998
63196,2002.2984,160.1839,50.0575
63131,104319.4133,8345.5531,2607.9853
63247,32523.3584,2601.8687,813.084
63249,28276.4371,2262.115,706.9109
63273,90.987,7.279,2.2747
63354,553.97,44.3176,13.8493
63329,196.29,15.7032,4.9073
63356,1179.97,94.3976,29.4993
63351,1248.83,99.9064,31.2208
63157,58137.7595,4651.0208,1453.444
63287,1144.6387,91.5711,28.616
63289,8307.4575,664.5966,207.6864
63337,608.96,48.7168,15.224
63333,71.95,5.756,1.7988
63278,1943.676,155.4941,48.5919
63159,3532.2531,282.5802,88.3063
63202,25463.7967,2037.1037,636.5949
